event_id,event_timestamp,user_id,device_id,ip_address,application_name,authentication_method,authentication_result
900291,2026-06-22T00:00:45Z,1146,5174,203.0.113.152,Salesforce,SSO,Success
900015,2026-06-22T00:05:25Z,1008,5036,198.51.100.217,Google Workspace,Password,Success
900425,2026-06-22T00:13:30Z,1212,5256,192.0.2.78,AWS Console,SSO,Success
900069,2026-06-22T00:14:34Z,1037,5045,203.0.113.187,Microsoft 365,OAuth,Success
900109,2026-06-22T00:15:23Z,1052,5081,198.51.100.42,VPN Portal,OAuth,Success
900066,2026-06-22T00:35:51Z,1035,5048,198.51.100.70,AWS Console,Password,Success
900395,2026-06-22T00:53:47Z,1195,5214,203.0.113.93,GitHub Enterprise,Password,Success
900057,2026-06-22T00:54:54Z,1030,5020,198.51.100.166,GitHub Enterprise,MFA Push,Success
900178,2026-06-22T00:56:46Z,1084,5116,198.51.100.44,Salesforce,Password,Success
900033,2026-06-22T01:07:53Z,1015,5010,198.51.100.90,ServiceNow,Password,Success
900341,2026-06-22T01:12:57Z,1170,5216,192.0.2.28,Salesforce,MFA Push,Success
900372,2026-06-22T01:14:53Z,1185,5242,203.0.113.242,Workday,SSO,Success
900048,2026-06-22T01:25:32Z,1026,5045,203.0.113.24,ServiceNow,MFA Push,Success
900043,2026-06-22T01:47:53Z,1023,5016,192.0.2.113,Workday,SSO,Success
900362,2026-06-22T01:52:08Z,1181,5241,203.0.113.134,ServiceNow,Password,Success
900119,2026-06-22T01:55:43Z,1056,5072,192.0.2.88,AWS Console,Password,Success
900133,2026-06-22T02:07:08Z,1063,5056,203.0.113.174,VPN Portal,Password,Success
900124,2026-06-22T02:21:57Z,1058,5065,192.0.2.58,VPN Portal,OAuth,Invalid Password
900259,2026-06-22T02:29:53Z,1128,5135,203.0.113.140,Slack,Password,Success
900061,2026-06-22T02:34:20Z,1031,5041,192.0.2.15,Salesforce,Password,Success
900210,2026-06-22T02:37:38Z,1102,5125,198.51.100.139,Slack,Passkey,Success
900094,2026-06-22T02:38:56Z,1047,5056,203.0.113.185,Salesforce,MFA Push,MFA Timeout
900090,2026-06-22T02:40:56Z,1046,5095,192.0.2.90,ServiceNow,MFA Push,Success
900073,2026-06-22T02:49:49Z,1038,5010,203.0.113.92,Salesforce,Password,Success
900220,2026-06-22T03:07:15Z,1105,5118,192.0.2.3,Microsoft 365,Password,Success
