device_id,organization_id,device_type,operating_system,managed_by_it
5001,1,Laptop,Windows 11,true
5002,1,Laptop,macOS 15,true
5003,1,Laptop,Windows 11,false
5004,1,Laptop,Ubuntu 24.04,true
5005,1,Laptop,Windows 10,true
5006,1,Laptop,Ubuntu 24.04,true
5007,1,Mobile,Android 15,false
5008,1,Mobile,Android 15,false
5009,1,Laptop,macOS 15,true
5010,1,Laptop,Windows 10,true
5011,1,Laptop,macOS 15,true
5012,1,Tablet,Android 15,true
5013,1,Laptop,Windows 11,false
5014,1,Mobile,iOS 18,false
5015,1,Desktop,Windows 11,true
5016,1,Laptop,Windows 10,true
5017,1,Laptop,Windows 10,true
5018,1,Mobile,iOS 18,true
5019,1,Laptop,Windows 11,true
5020,1,Tablet,iPadOS 18,true
5021,1,Mobile,iOS 18,false
5022,1,Laptop,Windows 11,true
5023,1,Mobile,Android 15,true
5024,1,Laptop,Windows 10,true
5025,1,Desktop,Windows 11,true
5026,1,Mobile,iOS 18,true
5027,1,Laptop,Windows 11,true
5028,1,Mobile,Android 15,true
5029,1,Tablet,iPadOS 18,false
5030,1,Mobile,Android 15,false
5031,1,Laptop,Ubuntu 24.04,true
5032,1,Laptop,Windows 10,true
5033,1,Laptop,macOS 15,true
5034,1,Desktop,macOS 15,true
5035,1,Desktop,Windows 11,true
5036,1,Laptop,Windows 10,true
5037,1,Mobile,Android 15,true
5038,1,Laptop,Ubuntu 24.04,true
5039,1,Laptop,macOS 15,true
5040,1,Laptop,Windows 10,true
5041,1,Laptop,Windows 11,true
5042,1,Laptop,Windows 11,true
5043,1,Laptop,Windows 10,true
5044,1,Desktop,macOS 15,true
5045,1,Laptop,Ubuntu 24.04,true
5046,1,Mobile,Android 15,false
5047,1,Laptop,Windows 10,true
5048,1,Laptop,Windows 11,true
5049,1,Desktop,Windows 11,true
5050,1,Desktop,Ubuntu 24.04,true
5051,1,Tablet,iPadOS 18,false
5052,1,Desktop,macOS 15,true
5053,2,Laptop,macOS 15,false
5054,2,Laptop,Windows 10,true
5055,2,Desktop,Ubuntu 24.04,true
5056,2,Mobile,iOS 18,true
5057,2,Desktop,Ubuntu 24.04,true
5058,2,Laptop,macOS 15,true
5059,2,Laptop,Windows 11,true
5060,2,Laptop,Windows 11,true
5061,2,Laptop,Ubuntu 24.04,true
5062,2,Laptop,macOS 15,true
5063,2,Laptop,macOS 15,true
5064,2,Laptop,Ubuntu 24.04,true
5065,2,Laptop,Windows 10,true
5066,2,Desktop,Windows 11,true
5067,2,Tablet,iPadOS 18,false
5068,2,Laptop,Windows 11,true
5069,2,Mobile,iOS 18,true
5070,2,Desktop,Windows 10,true
5071,2,Mobile,Android 15,true
5072,2,Mobile,iOS 18,true
5073,2,Laptop,Windows 11,true
5074,2,Desktop,Ubuntu 24.04,true
5075,2,Laptop,Windows 11,true
5076,2,Tablet,iPadOS 18,false
5077,2,Desktop,macOS 15,true
5078,2,Mobile,iOS 18,true
5079,2,Laptop,Windows 11,true
5080,2,Laptop,macOS 15,true
5081,2,Mobile,iOS 18,true
5082,2,Laptop,Windows 10,true
5083,2,Laptop,Windows 10,true
5084,2,Laptop,Windows 10,true
5085,2,Laptop,Windows 11,true
5086,2,Mobile,Android 15,true
5087,2,Desktop,Ubuntu 24.04,true
5088,2,Mobile,Android 15,false
5089,2,Desktop,Windows 10,true
5090,2,Laptop,macOS 15,true
5091,2,Desktop,macOS 15,true
5092,2,Laptop,Ubuntu 24.04,true
5093,2,Laptop,macOS 15,true
5094,2,Mobile,iOS 18,false
5095,2,Laptop,Ubuntu 24.04,true
5096,2,Tablet,iPadOS 18,true
5097,2,Mobile,iOS 18,true
5098,3,Laptop,Windows 10,false
5099,3,Laptop,macOS 15,false
5100,3,Laptop,Windows 10,true
5101,3,Mobile,Android 15,true
5102,3,Desktop,macOS 15,true
5103,3,Laptop,Ubuntu 24.04,true
5104,3,Desktop,Windows 11,true
5105,3,Desktop,Windows 11,true
5106,3,Desktop,Ubuntu 24.04,true
5107,3,Mobile,iOS 18,true
5108,3,Desktop,Windows 10,false
5109,3,Laptop,Ubuntu 24.04,true
5110,3,Mobile,iOS 18,true
5111,3,Laptop,macOS 15,true
5112,3,Desktop,Windows 11,true
5113,3,Laptop,macOS 15,true
5114,3,Laptop,Windows 10,true
